chapter_no,key_ideas,subject,grade,chapter_name
4,How Do We Learn About the Past?,History,6,Timeline and  Sources of History
4,How Is Time Measured in History?,History,6,Timeline and  Sources of History
4,What Are the Sources of History?,History,6,Timeline and  Sources of History
4,The Beginnings of Human History,History,6,Timeline and  Sources of History
4,The First Crops,History,6,Timeline and  Sources of History
5,How Indians Named India,History,6,"India, That Is Bharat"
5,How Foreigners Named India,History,6,"India, That Is Bharat"
6,What Is a Civilisation?,History,6,The Beginnings of Indian Civilisation
6,From Village to City,History,6,The Beginnings of Indian Civilisation
6,The Sarasvatī River,History,6,The Beginnings of Indian Civilisation
6,Town-Planning,History,6,The Beginnings of Indian Civilisation
6,Water Management,History,6,The Beginnings of Indian Civilisation
6,What Did the Harappans Eat?,History,6,The Beginnings of Indian Civilisation
6,A Brisk Trade,History,6,The Beginnings of Indian Civilisation
6,The Lives of the Ancients,History,6,The Beginnings of Indian Civilisation
6,The End or a New Beginning?,History,6,The Beginnings of Indian Civilisation
7,The Vedas and Vedic Culture,History,6,India’s Cultural Roots
7,What are the Vedas?,History,6,India’s Cultural Roots
7,Vedic society,History,6,India’s Cultural Roots
7,Vedic schools of thought,History,6,India’s Cultural Roots
7,Buddhism,History,6,India’s Cultural Roots
7,Jainism,History,6,India’s Cultural Roots
7,Folk and Tribal Roots,History,6,India’s Cultural Roots
8,A Rich Diversity,History,6,"Unity in Diversity, or Many in the One"
8,Food for All,History,6,"Unity in Diversity, or Many in the One"
8,Textiles and Clothing,History,6,"Unity in Diversity, or Many in the One"
8,Festivals Galore,History,6,"Unity in Diversity, or Many in the One"
8,An Epic Spread,History,6,"Unity in Diversity, or Many in the One"
4,Janapadas and Mahājanapadas,History,7,New Beginnings:  Cities and States
4,Early Democratic Traditions,History,7,New Beginnings:  Cities and States
4,More Innovations,History,7,New Beginnings:  Cities and States
4,The Varņa-Jāti System,History,7,New Beginnings:  Cities and States
4,Developments Elsewhere in India,History,7,New Beginnings:  Cities and States
5,What is an Empire?,History,7,The Rise of Empires
5,Trade,History,7,The Rise of Empires
5,trade routes and guilds,History,7,The Rise of Empires
5,The Rise of Magadha,History,7,The Rise of Empires
5,The Arrival of the Greeks,History,7,The Rise of Empires
5,The Mighty Mauryas,History,7,The Rise of Empires
5,Kautilya's concept of a kingdom,History,7,The Rise of Empires
5,The King Who Chose Peace,History,7,The Rise of Empires
5,Life in the Mauryan period,History,7,The Rise of Empires
5,The Fragile Nature of Empires,History,7,The Rise of Empires
6,Surge of the Shungas,History,7,The Age of Reorganisation
6,The Sātavāhanas,History,7,The Age of Reorganisation
6,Coming of the Chedis,History,7,The Age of Reorganisation
6,Kingdoms and Life in the South,History,7,The Age of Reorganisation
6,Invasions of the Indo-Greeks,History,7,The Age of Reorganisation
6,The Emergence of the Kuşhāņas,History,7,The Age of Reorganisation
7,A New Power Emerges,History,7,The Gupta Era: An Age of Tireless Creativity
7,A Traveller's Account of Indian Society in the Gupta Age,History,7,The Gupta Era: An Age of Tireless Creativity
7,Governance and administration,History,7,The Gupta Era: An Age of Tireless Creativity
