chapter_no,key_ideas,subject,grade,chapter_name
1,Food Variety,Biology,6,Components of Food
1,Nutrients,Biology,6,Components of Food
1,Testing for Nutrients,Biology,6,Components of Food
1,Carbohydrates,Biology,6,Components of Food
1,Proteins,Biology,6,Components of Food
1,Fats,Biology,6,Components of Food
1,Vitamins,Biology,6,Components of Food
1,Minerals,Biology,6,Components of Food
1,Balanced Diet,Biology,6,Components of Food
1,Deficiency Diseases,Biology,6,Components of Food
4,"Herbs, Shrubs, and Trees",Biology,6,Getting to Know Plants
4,Stem,Biology,6,Getting to Know Plants
4,Leaf,Biology,6,Getting to Know Plants
4,Root,Biology,6,Getting to Know Plants
4,Flower,Biology,6,Getting to Know Plants
4,Venation,Biology,6,Getting to Know Plants
4,Transpiration,Biology,6,Getting to Know Plants
4,Photosynthesis,Biology,6,Getting to Know Plants
4,Types of Roots,Biology,6,Getting to Know Plants
4,Parts of a Flower,Biology,6,Getting to Know Plants
5,Human Body Movements,Biology,6,Body Movements
5,Animal Movements,Biology,6,Body Movements
5,Joints,Biology,6,Body Movements
5,Bones,Biology,6,Body Movements
5,Ball and Socket Joint,Biology,6,Body Movements
5,Pivotal Joint,Biology,6,Body Movements
5,Hinge Joint,Biology,6,Body Movements
5,Fixed Joints,Biology,6,Body Movements
5,Skeleton,Biology,6,Body Movements
5,Muscles,Biology,6,Body Movements
6,Organisms and Surroundings,Biology,6,The Living Organisms — Characteristics and Habitats
6,Habitat and Adaptation,Biology,6,The Living Organisms — Characteristics and Habitats
6,Terrestrial Habitats,Biology,6,The Living Organisms — Characteristics and Habitats
6,Aquatic Habitats,Biology,6,The Living Organisms — Characteristics and Habitats
6,Characteristics of Living Organisms,Biology,6,The Living Organisms — Characteristics and Habitats
6,Biotic and Abiotic Components,Biology,6,The Living Organisms — Characteristics and Habitats
6,Growth and Reproduction,Biology,6,The Living Organisms — Characteristics and Habitats
6,Respiration,Biology,6,The Living Organisms — Characteristics and Habitats
6,Response to Stimuli,Biology,6,The Living Organisms — Characteristics and Habitats
6,Excretion,Biology,6,The Living Organisms — Characteristics and Habitats
1,Importance of Food,Biology,7,Nutrition in Plants
1,Mode of Nutrition in Plants,Biology,7,Nutrition in Plants
1,Photosynthesis,Biology,7,Nutrition in Plants
1,Role of Chlorophyll,Biology,7,Nutrition in Plants
1,Transport of Water and Minerals,Biology,7,Nutrition in Plants
1,Other Modes of Nutrition,Biology,7,Nutrition in Plants
1,Saprotrophs,Biology,7,Nutrition in Plants
1,Symbiotic Relationships,Biology,7,Nutrition in Plants
1,Replenishment of Soil Nutrients,Biology,7,Nutrition in Plants
1,Insectivorous Plants,Biology,7,Nutrition in Plants
2,Nutrient Requirement,Biology,7,Nutrition in Animals
2,Modes of Feeding,Biology,7,Nutrition in Animals
2,Digestion in Humans,Biology,7,Nutrition in Animals
2,Buccal Cavity,Biology,7,Nutrition in Animals
2,Stomach,Biology,7,Nutrition in Animals
2,Small Intestine,Biology,7,Nutrition in Animals
2,Large Intestine,Biology,7,Nutrition in Animals
2,Digestion in Ruminants,Biology,7,Nutrition in Animals
2,Feeding in Amoeba,Biology,7,Nutrition in Animals
2,Absorption and Assimilation,Biology,7,Nutrition in Animals
6,Why do we respire?,Biology,7,Respiration in Organisms
6,Cellular respiration,Biology,7,Respiration in Organisms
6,Aerobic respiration,Biology,7,Respiration in Organisms
6,Anaerobic respiration,Biology,7,Respiration in Organisms
6,Breathing,Biology,7,Respiration in Organisms
6,Mechanism of breathing,Biology,7,Respiration in Organisms
6,Breathing in other animals,Biology,7,Respiration in Organisms
6,Breathing under water,Biology,7,Respiration in Organisms
6,Respiration in plants,Biology,7,Respiration in Organisms
6,Breathing rate,Biology,7,Respiration in Organisms
7,Circulatory System,Biology,7,Transportation in Animals and Plants
7,Blood,Biology,7,Transportation in Animals and Plants
7,Blood Vessels,Biology,7,Transportation in Animals and Plants
7,Heart,Biology,7,Transportation in Animals and Plants
7,Heartbeat,Biology,7,Transportation in Animals and Plants
7,Excretion in Animals,Biology,7,Transportation in Animals and Plants
7,Excretory System in Humans,Biology,7,Transportation in Animals and Plants
7,Transport of Substances in Plants,Biology,7,Transportation in Animals and Plants
7,Transpiration,Biology,7,Transportation in Animals and Plants
7,Xylem and Phloem,Biology,7,Transportation in Animals and Plants
8,Modes of Reproduction,Biology,7,Reproduction in Plants
8,Asexual Reproduction,Biology,7,Reproduction in Plants
8,Vegetative Propagation,Biology,7,Reproduction in Plants
8,Budding,Biology,7,Reproduction in Plants
8,Fragmentation,Biology,7,Reproduction in Plants
8,Spore Formation,Biology,7,Reproduction in Plants
8,Sexual Reproduction,Biology,7,Reproduction in Plants
8,Pollination,Biology,7,Reproduction in Plants
8,Fertilisation,Biology,7,Reproduction in Plants
8,Seed Dispersal,Biology,7,Reproduction in Plants
12,Visit to a Forest,Biology,7,Forests: Our Lifeline
12,Forest as Habitat,Biology,7,Forests: Our Lifeline
12,Forest Plants and Trees,Biology,7,Forests: Our Lifeline
12,Forest Products,Biology,7,Forests: Our Lifeline
12,Forest Canopy and Understoreys,Biology,7,Forests: Our Lifeline
12,Forest Floor and Decomposers,Biology,7,Forests: Our Lifeline
12,Interdependence in Forests,Biology,7,Forests: Our Lifeline
12,Forests and Water Cycle,Biology,7,Forests: Our Lifeline
12,Forests and Climate,Biology,7,Forests: Our Lifeline
12,Conservation of Forests,Biology,7,Forests: Our Lifeline
13,"Water, Our Lifeline",Biology,7,Wastewater Story
13,What is Sewage?,Biology,7,Wastewater Story
13,Water Freshens Up,Biology,7,Wastewater Story
13,Wastewater Treatment Plant,Biology,7,Wastewater Story
13,Better Housekeeping Practices,Biology,7,Wastewater Story
13,Sanitation and Disease,Biology,7,Wastewater Story
13,Alternative Arrangement for Sewage Disposal,Biology,7,Wastewater Story
13,Sanitation at Public Places,Biology,7,Wastewater Story
13,Steps in Wastewater Treatment,Biology,7,Wastewater Story
13,Role of Active Citizens,Biology,7,Wastewater Story
1,Agricultural Practices,Biology,8,Crop Production and Management
1,Types of Crops,Biology,8,Crop Production and Management
1,Basic Practices of Crop Production,Biology,8,Crop Production and Management
1,Preparation of Soil,Biology,8,Crop Production and Management
1,Sowing,Biology,8,Crop Production and Management
1,Adding Manure and Fertilisers,Biology,8,Crop Production and Management
1,Irrigation,Biology,8,Crop Production and Management
1,Protection from Weeds,Biology,8,Crop Production and Management
1,Harvesting,Biology,8,Crop Production and Management
1,Storage,Biology,8,Crop Production and Management
2,Microorganisms,Biology,8,Microorganisms: Friend and Foe
2,Types of Microorganisms,Biology,8,Microorganisms: Friend and Foe
2,Habitats of Microorganisms,Biology,8,Microorganisms: Friend and Foe
2,Beneficial Microorganisms,Biology,8,Microorganisms: Friend and Foe
2,Harmful Microorganisms,Biology,8,Microorganisms: Friend and Foe
2,Disease-causing Microorganisms,Biology,8,Microorganisms: Friend and Foe
2,Food Preservation,Biology,8,Microorganisms: Friend and Foe
2,Nitrogen Fixation,Biology,8,Microorganisms: Friend and Foe
2,Nitrogen Cycle,Biology,8,Microorganisms: Friend and Foe
2,Vaccination,Biology,8,Microorganisms: Friend and Foe
5,Deforestation and Its Causes,Biology,8,Conservation of Plants and Animals
5,Consequences of Deforestation,Biology,8,Conservation of Plants and Animals
5,Conservation of Forest and Wildlife,Biology,8,Conservation of Plants and Animals
5,Biosphere Reserve,Biology,8,Conservation of Plants and Animals
5,Flora and Fauna,Biology,8,Conservation of Plants and Animals
5,Endemic Species,Biology,8,Conservation of Plants and Animals
5,Wildlife Sanctuary,Biology,8,Conservation of Plants and Animals
5,National Park,Biology,8,Conservation of Plants and Animals
5,Red Data Book,Biology,8,Conservation of Plants and Animals
5,Reforestation,Biology,8,Conservation of Plants and Animals
6,Modes of Reproduction,Biology,8,Reproduction in Animals
6,Sexual Reproduction,Biology,8,Reproduction in Animals
6,Male Reproductive Organs,Biology,8,Reproduction in Animals
6,Female Reproductive Organs,Biology,8,Reproduction in Animals
6,Fertilisation,Biology,8,Reproduction in Animals
6,Development of Embryo,Biology,8,Reproduction in Animals
6,Viviparous and Oviparous Animals,Biology,8,Reproduction in Animals
6,Young Ones to Adults,Biology,8,Reproduction in Animals
6,Asexual Reproduction,Biology,8,Reproduction in Animals
6,Cloning,Biology,8,Reproduction in Animals
7,Adolescence and Puberty,Biology,8,Reaching the Age of Adolescence
7,Changes at Puberty,Biology,8,Reaching the Age of Adolescence
7,Increase in Height,Biology,8,Reaching the Age of Adolescence
7,Change in Body Shape,Biology,8,Reaching the Age of Adolescence
7,Voice Change,Biology,8,Reaching the Age of Adolescence
7,Development of Sex Organs,Biology,8,Reaching the Age of Adolescence
7,"Mental, Intellectual, and Emotional Maturity",Biology,8,Reaching the Age of Adolescence
7,Secondary Sexual Characters,Biology,8,Reaching the Age of Adolescence
7,Role of Hormones,Biology,8,Reaching the Age of Adolescence
7,Reproductive Phase of Life,Biology,8,Reaching the Age of Adolescence
5,Discovery of Cells,Biology,9,The Fundamental Unit of Life
5,Unicellular and Multicellular Organisms,Biology,9,The Fundamental Unit of Life
5,Cell Theory,Biology,9,The Fundamental Unit of Life
5,Cell Structure,Biology,9,The Fundamental Unit of Life
5,Plasma Membrane,Biology,9,The Fundamental Unit of Life
5,Cell Wall,Biology,9,The Fundamental Unit of Life
5,Nucleus,Biology,9,The Fundamental Unit of Life
5,Cytoplasm,Biology,9,The Fundamental Unit of Life
5,Cell Organelles,Biology,9,The Fundamental Unit of Life
5,Cell Division,Biology,9,The Fundamental Unit of Life
6,Cell Specialization,Biology,9,Tissues
6,Tissue Definition,Biology,9,Tissues
6,Plant vs Animal Tissues,Biology,9,Tissues
6,Meristematic Tissue,Biology,9,Tissues
6,Permanent Tissue,Biology,9,Tissues
6,Simple Permanent Tissue,Biology,9,Tissues
6,Complex Permanent Tissue,Biology,9,Tissues
6,Epithelial Tissue,Biology,9,Tissues
6,Connective Tissue,Biology,9,Tissues
6,Muscular Tissue,Biology,9,Tissues
6,Nervous Tissue,Biology,9,Tissues
12,Food Sources,Biology,9,Improvement in Food Resources
12,Population and Food Demand,Biology,9,Improvement in Food Resources
12,Green and White Revolutions,Biology,9,Improvement in Food Resources
12,Sustainable Practices,Biology,9,Improvement in Food Resources
12,Food Security,Biology,9,Improvement in Food Resources
12,Crop Variety Improvement,Biology,9,Improvement in Food Resources
12,Crop Production Management,Biology,9,Improvement in Food Resources
12,Crop Protection Management,Biology,9,Improvement in Food Resources
12,Animal Husbandry,Biology,9,Improvement in Food Resources
12,Poultry Farming,Biology,9,Improvement in Food Resources
5,Characteristics of Living Beings,Biology,10,Life Processes
5,Molecular Movements in Cells,Biology,10,Life Processes
5,Life Processes,Biology,10,Life Processes
5,Nutrition,Biology,10,Life Processes
5,Autotrophic Nutrition,Biology,10,Life Processes
5,Heterotrophic Nutrition,Biology,10,Life Processes
5,Respiration,Biology,10,Life Processes
5,Transportation in Human Beings,Biology,10,Life Processes
5,Transportation in Plants,Biology,10,Life Processes
5,Excretion,Biology,10,Life Processes
6,Nervous System in Animals,Biology,10,Control and Coordination
6,Reflex Actions,Biology,10,Control and Coordination
6,Human Brain,Biology,10,Control and Coordination
6,Protection of Nervous Tissue,Biology,10,Control and Coordination
6,Muscle Movement,Biology,10,Control and Coordination
6,Coordination in Plants,Biology,10,Control and Coordination
6,Plant Hormones,Biology,10,Control and Coordination
6,Hormones in Animals,Biology,10,Control and Coordination
6,Adrenaline and Stress Response,Biology,10,Control and Coordination
6,Feedback Mechanisms,Biology,10,Control and Coordination
7,Importance of Reproduction,Biology,10,How do Organisms Reproduce?
7,DNA Copying,Biology,10,How do Organisms Reproduce?
7,Variation,Biology,10,How do Organisms Reproduce?
7,Asexual Reproduction,Biology,10,How do Organisms Reproduce?
7,Binary Fission,Biology,10,How do Organisms Reproduce?
7,Fragmentation,Biology,10,How do Organisms Reproduce?
7,Regeneration,Biology,10,How do Organisms Reproduce?
7,Budding,Biology,10,How do Organisms Reproduce?
7,Vegetative Propagation,Biology,10,How do Organisms Reproduce?
7,Sexual Reproduction,Biology,10,How do Organisms Reproduce?
8,Accumulation of Variation,Biology,10,Heredity
8,Heredity,Biology,10,Heredity
8,Inherited Traits,Biology,10,Heredity
8,Mendel’s Contributions,Biology,10,Heredity
8,Dominant and Recessive Traits,Biology,10,Heredity
8,Independent Inheritance,Biology,10,Heredity
8,Expression of Traits,Biology,10,Heredity
8,Chromosomes and Genes,Biology,10,Heredity
8,Sex Determination,Biology,10,Heredity
8,Environmental Influence on Sex,Biology,10,Heredity
13,Environment and its components,Biology,10,Our Environment
13,Ecosystem and its components,Biology,10,Our Environment
13,"Producers, consumers, and decomposers",Biology,10,Our Environment
13,Food chains and food webs,Biology,10,Our Environment
13,Energy flow in ecosystems,Biology,10,Our Environment
13,Biological magnification,Biology,10,Our Environment
13,Ozone layer depletion,Biology,10,Our Environment
13,Waste management,Biology,10,Our Environment
13,Biodegradable and non-biodegradable substances,Biology,10,Our Environment
13,Impact of human activities on the environment,Biology,10,Our Environment
1,Diversity in the Living World,Biology,11,The Living World
1,Taxonomic Categories,Biology,11,The Living World
1,Nomenclature,Biology,11,The Living World
1,Identification,Biology,11,The Living World
1,Classification,Biology,11,The Living World
1,Taxonomic Hierarchy,Biology,11,The Living World
1,Species,Biology,11,The Living World
1,Genus,Biology,11,The Living World
1,Family,Biology,11,The Living World
1,Order,Biology,11,The Living World
2,Kingdom Monera,Biology,11,Biological Classification
2,Kingdom Protista,Biology,11,Biological Classification
2,Kingdom Fungi,Biology,11,Biological Classification
2,Kingdom Plantae,Biology,11,Biological Classification
2,Kingdom Animalia,Biology,11,Biological Classification
2,"Viruses, Viroids, Prions, and Lichens",Biology,11,Biological Classification
2,Archaebacteria,Biology,11,Biological Classification
2,Eubacteria,Biology,11,Biological Classification
2,Protozoans,Biology,11,Biological Classification
2,Fungal Reproduction,Biology,11,Biological Classification
3,Algae,Biology,11,Plant Kingdom
3,Bryophytes,Biology,11,Plant Kingdom
