chapter_no,key_ideas,subject,grade,chapter_name
1,Comparing and Ordering Numbers,Math,6,Knowing our Numbers
1,Estimation and Rounding Off Numbers,Math,6,Knowing our Numbers
1,Place Value and Expanded Form,Math,6,Knowing our Numbers
1,Large Numbers and Number Systems,Math,6,Knowing our Numbers
1,Large Numbers in Daily Life,Math,6,Knowing our Numbers
10,Introduction to Perimeter,Math,6,Perimeter and Area
10,Perimeter of Rectangles,Math,6,Perimeter and Area
10,Perimeter of Regular Shapes,Math,6,Perimeter and Area
10,Area of Rectangles and Squares,Math,6,Perimeter and Area
11,Introduction to Ratio,Math,6,Ratio and Proportion
11,Equivalent Ratios and Simplest Form,Math,6,Ratio and Proportion
11,Division of a Quantity in a Given Ratio,Math,6,Ratio and Proportion
11,Proportion,Math,6,Ratio and Proportion
11,Unitary Method,Math,6,Ratio and Proportion
12,Introduction to Symmetry and Mirror Reflection,Math,6,Symmetry
12,Line Symmetry,Math,6,Symmetry
12,Multiple Lines of Symmetry,Math,6,Symmetry
13,Construction of a Line Segment,Math,6,Practical Geometry
13,Construction of a Circle,Math,6,Practical Geometry
13,Construction of Perpendiculars,Math,6,Practical Geometry
13,Construction of Angles,Math,6,Practical Geometry
14,Introduction to 3D Shapes,Math,6,Understanding 3D and 2D Shapes
14,"Properties of 3D Shapes (Faces, Edges, and Vertices)",Math,6,Understanding 3D and 2D Shapes
14,Prism and Pyramid,Math,6,Understanding 3D and 2D Shapes
14,Polygons,Math,6,Understanding 3D and 2D Shapes
2,Natural and Whole Numbers,Math,6,Whole Numbers
2,The Number Line,Math,6,Whole Numbers
2,Properties of Whole Numbers,Math,6,Whole Numbers
2,Patterns in Whole Numbers,Math,6,Whole Numbers
3,Divisibility Rules,Math,6,Playing with Numbers
3,"Factors, Prime and Composite Numbers",Math,6,Playing with Numbers
3,Prime Factorization,Math,6,Playing with Numbers
3,Highest Common Factor (HCF),Math,6,Playing with Numbers
3,Least Common Multiple (LCM),Math,6,Playing with Numbers
3,Relationship between LCM and HCF,Math,6,Playing with Numbers
4,"Points, Lines, Line Segments, and Rays",Math,6,Basic Geometrical Ideas
4,Curves and Polygons,Math,6,Basic Geometrical Ideas
4,Angles,Math,6,Basic Geometrical Ideas
4,Triangles,Math,6,Basic Geometrical Ideas
4,Quadrilaterals,Math,6,Basic Geometrical Ideas
4,Circles,Math,6,Basic Geometrical Ideas
5,Measure of a Line Segment,Math,6,Measures of Lines and Angles
5,Measure of an Angle,Math,6,Measures of Lines and Angles
5,Intersecting Perpendicular and Parallel Lines,Math,6,Measures of Lines and Angles
6,Introduction to Integers,Math,6,Integers
6,Representation of Integers on a Number Line,Math,6,Integers
6,Ordering of Integers,Math,6,Integers
6,Addition and Subtraction of Integers,Math,6,Integers
7,Introduction to Fractions Proper Improper Mixed,Math,6,Fractions and Decimals
7,Fractions on the Number Line,Math,6,Fractions and Decimals
7,Equivalent Fractions and Lowest Form,Math,6,Fractions and Decimals
7,Like and Unlike Fractions,Math,6,Fractions and Decimals
7,"Comparing, Ordering, Addition, and Subtraction of Fractions",Math,6,Fractions and Decimals
7,Introduction to Decimals and Place Value,Math,6,Fractions and Decimals
7,Addition and Subtraction of Decimals,Math,6,Fractions and Decimals
8,Recording and Organisation of Data,Math,6,Data Handling
8,Pictographs,Math,6,Data Handling
8,Bar Graphs,Math,6,Data Handling
9,Patterns and Rules,Math,6,Introduction to Algebra
9,Variables and Expressions,Math,6,Introduction to Algebra
9,Rules from Geometry and Arithmetic,Math,6,Introduction to Algebra
9,Simple Equations,Math,6,Introduction to Algebra
10,Tribal Societies,Civics,6,Community Decision Making in a Tribe
10,Community Decision Making,Civics,6,Community Decision Making in a Tribe
10,Role of Leaders,Civics,6,Community Decision Making in a Tribe
10,Village Panchayat,Civics,6,Community Decision Making in a Tribe
10,Resource Sharing,Civics,6,Community Decision Making in a Tribe
10,Gender Roles,Civics,6,Community Decision Making in a Tribe
10,Dispute Resolution,Civics,6,Community Decision Making in a Tribe
10,Cultural Practices,Civics,6,Community Decision Making in a Tribe
10,Headman Responsibilities,Civics,6,Community Decision Making in a Tribe
10,Changing Dynamics,Civics,6,Community Decision Making in a Tribe
12,Government functions,Civics,6,Democratic Government
12,Types of government,Civics,6,Democratic Government
12,Democratic government,Civics,6,Democratic Government
12,Representative democracy,Civics,6,Democratic Government
12,Majority rule,Civics,6,Democratic Government
12,Elected representatives,Civics,6,Democratic Government
12,Checks on representatives,Civics,6,Democratic Government
12,Equality in democracy,Civics,6,Democratic Government
12,Public participation,Civics,6,Democratic Government
13,Public amenities,Civics,6,Village Panchayats
13,Democracy at village level,Civics,6,Village Panchayats
13,Gram Sabha,Civics,6,Village Panchayats
13,Formation of Gram Panchayats,Civics,6,Village Panchayats
13,Elections,Civics,6,Village Panchayats
13,Sarpanch and Upa-Sarpanch,Civics,6,Village Panchayats
13,Responsibilities of Panchayats,Civics,6,Village Panchayats
13,Reservation in Panchayats,Civics,6,Village Panchayats
13,Funds for Gram Panchayats,Civics,6,Village Panchayats
13,Participation in decision-making,Civics,6,Village Panchayats
14,Urbanization and Population Growth,Civics,6,Local Self - Government in Urban Areas
14,Public Amenities and Services,Civics,6,Local Self - Government in Urban Areas
14,Municipal Governance Structure,Civics,6,Local Self - Government in Urban Areas
14,Election Process in Municipalities,Civics,6,Local Self - Government in Urban Areas
14,Roles of Councillors and Mayors,Civics,6,Local Self - Government in Urban Areas
14,Municipal Departments and Functions,Civics,6,Local Self - Government in Urban Areas
14,Funding and Revenue Sources,Civics,6,Local Self - Government in Urban Areas
14,Sub-Contracting of Municipal Work,Civics,6,Local Self - Government in Urban Areas
14,Challenges Faced by Municipal Workers,Civics,6,Local Self - Government in Urban Areas
15,Diversity in Our Society,Civics,6,Diversity in Our Society
15,Cultural Differences,Civics,6,Diversity in Our Society
15,Making Friends,Civics,6,Diversity in Our Society
15,Regional Variations,Civics,6,Diversityin Our Society
15,Festivals and Food,Civics,6,Diversity in Our Society
