chapter_no,key_ideas,subject,grade,chapter_name
1,The Structure and States of Matter,Physics,10,States of Matter
1,Kinetic Particle Theory,Physics,10,States of Matter
1,Changes of State,Physics,10,States of Matter
1,Effects of Temperature and Pressure on Gases,Physics,10,States of Matter
1,Diffusion,Physics,10,States of Matter
10,Properties of Metals,Physics,10,Metals
10,Reactivity of Metals,Physics,10,Metals
10,Displacement Reactions,Physics,10,Metals
10,Identifying Metal Ions,Physics,10,Metals
10,Extraction of Metals,Physics,10,Metals
10,Metal Corrosion and Prevention,Physics,10,Metals
10,Alloys,Physics,10,Metals
11,"Water: Properties, Pollution, and Treatment",Physics,10,Chemistry of the environment
11,Artificial Fertilisers,Physics,10,Chemistry of the environment
11,The Air and Its Composition,Physics,10,Chemistry of the environment
11,Atmospheric Pollution and Climate Change,Physics,10,Chemistry of the environment
12,Alkanes,Physics,10,Organic chemistry 1
12,Chemical Properties of Alkanes,Physics,10,Organic chemistry 1
12,Alkenes,Physics,10,Organic chemistry 1
12,Chemical Properties of Alkenes,Physics,10,Organic chemistry 1
12,Polymers and Addition Polymerisation,Physics,10,Organic chemistry 1
12,Environmental Issues with Plastics,Physics,10,Organic chemistry 1
13,Alcohols,Physics,10,Organic chemistry 2
13,Manufacture of Ethanol,Physics,10,Organic chemistry 2
13,Carboxylic Acids,Physics,10,Organic chemistry 2
13,Esters,Physics,10,Organic chemistry 2
13,Condensation Polymers,Physics,10,Organic chemistry 2
13,Natural Polyamides (Proteins),Physics,10,Organic chemistry 2
14,Apparatus for Measurement,Physics,10,Experimental techniques and chemical analysis
14,Separating Mixtures,Physics,10,Experimental techniques and chemical analysis
14,Purity of Substances,Physics,10,Experimental techniques and chemical analysis
14,Qualitative Analysis,Physics,10,Experimental techniques and chemical analysis
2,Elements,Physics,10,"Atoms, Elements and Compounds"
2,Molecules,Physics,10,"Atoms, Elements and Compounds"
2,Compounds,Physics,10,"Atoms, Elements and Compounds"
2,Oxidation and Reduction (Redox Reactions),Physics,10,"Atoms, Elements and Compounds"
2,Mixtures,Physics,10,"Atoms, Elements and Compounds"
2,Inside Atoms (Atomic Structure),Physics,10,"Atoms, Elements and Compounds"
2,Ions,Physics,10,"Atoms, Elements and Compounds"
2,Isotopes,Physics,10,"Atoms, Elements and Compounds"
2,Relative Atomic Mass,Physics,10,"Atoms, Elements and Compounds"
2,Arrangement of Electrons in Atoms (Electronic Configuration),Physics,10,"Atoms, Elements and Compounds"
3,Ionic Bonding,Physics,10,Bonding and Structure
3,Redox Reactions and Oxidation Numbers,Physics,10,Bonding and Structure
3,Covalent Bonding,Physics,10,Bonding and Structure
3,Properties and Structures of Covalent and Ionic Compounds,Physics,10,Bonding and Structure
3,Metallic Bonding,Physics,10,Bonding and Structure
3,"Allotropy and Giant Structures (Diamond, Graphite, Fullerene, Glasses & Ceramics)",Physics,10,Bonding and Structure
4,Relative Atomic and Molecular Mass,Physics,10,Stoichiometry – Chemical Calculations
4,"The Mole, Avogadro's Constant, and Moles in Calculations",Physics,10,Stoichiometry – Chemical Calculations
4,"Moles in Compounds, Gases, and Solutions",Physics,10,Stoichiometry – Chemical Calculations
4,Calculating Formulae (Empirical and Molecular),Physics,10,Stoichiometry – Chemical Calculations
4,Moles and Chemical Equations,Physics,10,Stoichiometry – Chemical Calculations
