chapter_no,key_ideas,subject,grade,chapter_name
1,Identifying Circular Objects,Math,6,Circles
1,Circle Properties and Positions,Math,6,Circles
1,Creating Circular Designs,Math,6,Circles
2,Number System and Place Value,Math,6,Place Value
2,Number Periods and Standard Form,Math,6,Place Value
2,Place Value Expansion,Math,6,Place Value
3,Addition of Whole Numbers,Math,6,Mathematical Operations on Whole Numbers
3,Subtraction of Whole Numbers,Math,6,Mathematical Operations on Whole Numbers
3,Multiplication of Whole Numbers,Math,6,Mathematical Operations on Whole Numbers
3,Division of Whole Numbers,Math,6,Mathematical Operations on Whole Numbers
3,Mixed Operations,Math,6,Mathematical Operations on Whole Numbers
4,Time Units and Measurement,Math,6,Time
4,Clock Time Conversion,Math,6,Time
4,Time Calculations,Math,6,Time
5,Basic Number Line Concepts,Math,6,Number Line
5,Negative Numbers,Math,6,Number Line
5,Integer Comparison,Math,6,Number Line
5,Finding Integers Between Numbers,Math,6,Number Line
5,Temperature Applications,Math,6,Number Line
6,Estimation,Math,6,Estimation and Rounding Off
6,Rounding Off to Nearest Ten,Math,6,Estimation and Rounding Off
7,Angle Identification and Types,Math,6,Angles
7,Application in Real World,Math,6,Angles
8,Main and Sub Directions,Math,6,Directions
8,Horizontal and Vertical Positions,Math,6,Directions
9,Fractions and Their Types,Math,6,Fractions
9,Equivalent Fractions,Math,6,Fractions
9,Addition and Subtraction of Fractions,Math,6,Fractions
9,Fractions of Collections,Math,6,Fractions
10,Grouping and Classification,Math,6,Selection
11,Identifying Factors,Math,6,Factors and Multiples
11,Multiples,Math,6,Factors and Multiples
11,Problem Solving with Factors and Multiples,Math,6,Factors and Multiples
11,Divisibility,Math,6,Factors and Multiples
12,Plane Figures,Math,6,Rectilinear Plane Figures
12,Closed and Open Plane Figures,Math,6,Rectilinear Plane Figures
12,Rectilinear Plane Figures,Math,6,Rectilinear Plane Figures
12,Properties of Quadrilaterals,Math,6,Rectilinear Plane Figures
13,Introduction to Decimals,Math,6,Decimals
13,Place Value and Decimal Numbers,Math,6,Decimals
13,Comparing Decimals,Math,6,Decimals
13,Addition and Subtraction of Decimals,Math,6,Decimals
14,Even and Odd Numbers,Math,6,Types of Numbers and Number Patterns
14,Prime and Composite Numbers,Math,6,Types of Numbers and Number Patterns
14,Square Numbers,Math,6,Types of Numbers and Number Patterns
14,Triangular Numbers,Math,6,Types of Numbers and Number Patterns
14,Number Patterns,Math,6,Types of Numbers and Number Patterns
15,Units of Length Measurement,Math,6,Length
15,Length Estimation,Math,6,Length
15,Perimeter,Math,6,Length
16,Units and Conversions,Math,6,Liquid Measurements
16,Addition and Subtraction,Math,6,Liquid Measurements
16,Estimation,Math,6,Liquid Measurements
16,Complex Problems,Math,6,Liquid Measurements
17,Solid Object Properties,Math,6,Solids
17,Nets and Models,Math,6,Solids
17,Compound Solids,Math,6,Solids
18,Mathematical Symbols and Notation,Math,6,Algebraic Symbols
18,Known and Unknown Terms,Math,6,Algebraic Symbols
18,Variables,Math,6,Algebraic Symbols
19,Constructing Algebraic Expressions,Math,6,Constructing Algebraic Expressions and Substitution
19,Substitution,Math,6,Constructing Algebraic Expressions and Substitution
20,Units and Measurement,Math,6,Mass
20,Mass Addition,Math,6,Mass
20,Mass Subtraction,Math,6,Mass
20,Complex Mass Problems,Math,6,Mass
21,Introduction to Ratio,Math,6,Ratio
21,Equivalent Ratios,Math,6,Ratio
21,Simplifying Ratios,Math,6,Ratio
21,Rate Problems,Math,6,Ratio
22,Tally Marks and Data Collection,Math,6,Data Collection and Representation
22,Picture Graphs,Math,6,Data Collection and Representation
23,Tables and Numerical Data,Math,6,Data Interpretation
23,Picture Graphs,Math,6,Data Interpretation
24,Index Notation,Math,6,Indices
24,Powers of Numbers,Math,6,Indices
24,Mixed Operations with Indices,Math,6,Indices
25,Creating and Measuring with Square Units,Math,6,Area
25,Area Measurement Units,Math,6,Area
1,Components of Environment and Living Things,Science,6,Wonders of the Living World
1,Plant Growth and Development,Science,6,Wonders of the Living World
1,Classification of Organisms,Science,6,Wonders of the Living World
1,Project-Based Learning,Science,6,Wonders of the Living World
2,Matter and Energy,Science,6,Things Around Us
2,States of Matter,Science,6,Things Around Us
2,Properties of Solids,Science,6,Things Around Us
2,Fill in the Blanks,Science,6,Things Around Us
2,Multiple Choice,Science,6,Things Around Us
3,States of Water,Science,6,Water as a Natural Resource
3,Types of Water Based on Availability,Science,6,Water as a Natural Resource
3,Water Classification by Salinity,Science,6,Water as a Natural Resource
3,Water Conservation and Pollution,Science,6,Water as a Natural Resource
4,Energy and Work,Science,6,Energy in Day-to-Day Life
4,Energy Sources,Science,6,Energy in Day-to-Day Life
4,Energy Conservation,Science,6,Energy in Day-to-Day Life
5,Vision and Light Requirements,Science,6,Light and Vision
5,Sources of Light and Object Types,Science,6,Light and Vision
5,Light Transmission Through Objects,Science,6,Light and Vision
5,Light Rays and Beams,Science,6,Light and Vision
5,Applications of Light,Science,6,Light and Vision
5,Technical Terms Translation,Science,6,Light and Vision
6,Sound Production,Science,6,Sound and Hearing
6,Sound Perception,Science,6,Sound and Hearing
6,Musical Instruments,Science,6,Sound and Hearing
6,Sound Types and Safety,Science,6,Sound and Hearing
7,Magnetic Properties and Effects,Science,6,Magnets
7,Magnetic Poles,Science,6,Magnets
7,Magnetic Forces and Fields,Science,6,Magnets
7,True/False Questions,Science,6,Magnets
7,Fill in the Blanks,Science,6,Magnets
7,Selection Problem,Science,6,Magnets
7,Interactive Activities,Science,6,Magnets
8,Electricity Generation and Usage,Science,6,Electricity for a Comfortable Life
8,Electric Circuits and Components,Science,6,Electricity for a Comfortable Life
8,Electronic Components,Science,6,Electricity for a Comfortable Life
8,Electricity Conservation,Science,6,Electricity for a Comfortable Life
8,Electrical Safety,Science,6,Electricity for a Comfortable Life
